date;WorkType;Hours;SystemHours;Quantity;SystemKPI
2019-07-11;213;23,11;0,051388;11;214,057757
2019-07-11;209;96,16;90,505;31921;352,698745
2019-07-11;217;56;3,047777;1629;534,487923
2019-07-11;215;27,99;33,337222;9275;278,217543
2019-07-11;202;11,1;4,804722;788;164,005326
2019-07-11;206;208,8;85,119722;1002;11,771655
2019-07-12;213;20,18;0,015555;6;385,728062
2019-07-12;203;31,4;23,230833;124618;5364,336268
2019-07-12;210;47,52;45,786388;10407;227,294627
2019-07-12;206;127,6;36,081666;359;9,949651
2019-07-12;202;16;13,298611;2254;169,491385
2019-07-12;211;120,71;46,714444;23673;506,75975
2019-07-12;214;31,57;15,228611;17069;1120,850746
2019-07-12;209;99,13;45,942777;13176;286,791545
2019-07-12;215;27,96;26,575555;5434;204,473622
2019-07-13;211;176,15;68,366666;49387;722,384209
2019-07-13;206;9;10,543611;118;11,191612
2019-07-14;206;68,15;31,139166;437;14,033773
2019-07-15;206;173,7;70,882777;836;11,79412
2019-07-15;203;25,9;8,731388;14509;1661,706019
2019-07-15;209;70,19;70,601111;19082;270,279032
2019-07-15;215;50,75;46,874444;12754;272,08856
2019-07-15;210;73,5;70,601111;19082;270,279032
2019-07-15;213;8,3;0,076388;27;353,458658
2019-07-15;211;134,63;84,116388;20927;248,786241
2019-07-15;202;16;9,668888;1588;164,238121
2019-07-15;214;39,05;16,204166;12715;784,674755
2019-07-16;206;164,3;68,42;754;11,02017
2019-07-16;210;73,51;59,259444;19259;324,994611
2019-07-16;214;57,53;36,18;57116;1578,662244
2019-07-16;202;16;8,048888;1986;246,742158
2019-07-16;213;5,45;0,015555;17;1092,896175
2019-07-16;215;53,05;38,506388;11459;297,586987
2019-07-16;211;116,28;52,149444;11727;224,872963
2019-07-16;209;70,14;59,259444;19259;324,994611
2019-07-16;203;24,1;20,095;37682;1875,192834
2019-07-17;203;24;20,042777;61633;3075,07288
2019-07-17;209;72,23;40,619722;18353;451,824854
2019-07-17;213;11,05;0,081111;8;98,630272
2019-07-17;210;53,2;40,400277;10619;262,844732
2019-07-17;215;53,05;35,6;9289;260,926966
2019-07-17;211;137,6;41,670833;11511;276,236378
2019-07-17;206;181,12;94,838333;780;8,224522
2019-07-17;214;58,3;35,601666;51384;1443,303243
2019-07-17;202;8;6,895555;1136;164,743809
2019-07-18;203;23;21,396944;57556;2689,91684
2019-07-18;209;53,23;32,475833;12509;385,178726
2019-07-18;211;65,29;29,881111;3880;129,847916
2019-07-18;214;70,41;28,983888;51070;1762,013433
2019-07-18;213;11,32;0,018611;4;214,926656
2019-07-18;210;35,85;32,441944;10069;310,36981
2019-07-18;215;28,72;20,348611;8532;419,291518
2019-07-18;202;16;7,072222;1262;178,444624
2019-07-18;206;172,37;71,269722;727;10,200685
2019-07-19;206;121,34;39,364444;405;10,288473
2019-07-19;202;8;6,702222;1460;217,838203
2019-07-19;203;23,8;21,472222;39674;1847,68954
2019-07-19;217;69,8;0,095555;19;198,838365
2019-07-19;214;66,66;36,666388;73839;2013,806214
2019-07-19;210;34,91;31,141944;7932;254,704715
2019-07-19;213;11,18;0,071666;12;167,443418
2019-07-19;209;55,75;31,317777;16121;514,755565
2019-07-19;215;29,45;19,409444;5926;305,315288
2019-07-19;211;63,81;12,196111;2765;226,711613
2019-07-20;206;5,08;25,333333;91;3,592105
2019-07-20;214;86,9;42,741944;95822;2241,87276
2019-07-21;206;41,46;26,078611;422;16,181843
2019-07-22;210;45,36;35,776388;8915;249,186698
2019-07-22;215;57,16;46,123333;10340;224,181543
2019-07-22;206;149,04;100,740555;775;7,693029
2019-07-22;203;23,9;20,273888;60918;3004,751727
2019-07-22;214;64,47;31,280833;49991;1598,13519
2019-07-22;209;54,58;35,812777;11609;324,158051
2019-07-22;213;8,02;0,192777;21;108,934157
2019-07-22;211;108,33;26,629722;3158;118,589296
2019-07-22;202;8;6,935277;1382;199,27106
2019-07-23;203;20,7;14,998611;63605;4240,726024
2019-07-23;206;167,66;101,008611;799;7,910217
2019-07-23;209;52,54;42,314722;11429;270,095121
2019-07-23;211;60,85;21,428611;3074;143,453068
2019-07-23;215;41,78;32,759444;9013;275,126769
2019-07-23;202;8;7,055;1247;176,754075
2019-07-23;210;57,89;42,314722;11429;270,095121
2019-07-23;213;11,58;0,430833;12;27,85302
2019-07-23;214;64,99;30,605;96802;3162,94723
2019-07-24;209;118,08;78,170833;27679;354,083472
2019-07-24;215;40,01;26,608055;7189;270,181341
2019-07-24;210;76,7;78,143055;24973;319,580543
2019-07-24;213;7,75;0,0675;7;103,703704
2019-07-24;203;16;12,142222;48917;4028,669546
2019-07-24;206;148,2;114,049444;838;7,34769
2019-07-24;202;8;7,96;1069;134,296482
2019-07-24;214;45,03;29,193333;68978;2362,799752
2019-07-24;211;80,23;22,661666;8826;389,468276
2019-07-25;210;27,51;29,073055;8262;284,180661
2019-07-25;211;73,84;9,733888;3035;311,7973
2019-07-25;214;40,07;23,814444;40664;1707,535141
2019-07-25;202;8;6,175833;1235;199,973023
2019-07-25;215;21,76;20,703611;4986;240,827554
2019-07-25;206;133,9;102,816666;681;6,62344
2019-07-25;203;16,3;13,228611;51730;3910,463464
2019-07-25;217;87,5;2,531111;451;178,182624
2019-07-25;213;10,47;0,033333;5;150,0015
2019-07-25;209;47,24;29,075;9267;318,727429
2019-07-26;213;5,65;0,007777;7;900,090009
2019-07-26;206;83,4;32,248611;169;5,240536
2019-07-26;203;16;17,735833;22059;1243,753253
2019-07-26;210;33,01;24,258055;8827;363,879132
2019-07-26;202;8;6,668888;1392;208,730451
2019-07-26;209;40,57;24,258055;8827;363,879132
2019-07-26;211;48,33;8,890277;3751;421,921611
2019-07-26;215;23,91;22,888888;8308;362,970887
2019-07-26;214;37,08;25,568333;37048;1448,979876
2019-07-28;206;60,82;23,399166;357;15,256954
2019-07-29;214;65,51;35,472222;82712;2331,74003
2019-07-29;213;6,23;0,131388;19;144,609858
2019-07-29;202;8;7,788333;1073;137,770174
2019-07-29;211;72,23;34,101388;4366;128,029979
2019-07-29;210;60,34;43,053055;12636;293,498335
2019-07-29;209;49,03;43,080555;14665;340,408799
2019-07-29;203;16;16,501388;74441;4511,19627
2019-07-29;206;175,75;100,300833;1065;10,618057
2019-07-29;215;56,17;47,496111;12714;267,685074
2019-07-30;215;57,25;39,980555;14174;354,522342
2019-07-30;213;41,45;0,259722;17;65,454601
2019-07-30;211;63,8;14,531944;4820;331,683083
2019-07-30;202;8;7,013055;1091;155,56701
2019-07-30;206;156,05;116,239166;967;8,319055
2019-07-30;210;42,74;42,316111;12690;299,885781
2019-07-30;214;62,43;29,601111;45054;1522,037466
2019-07-30;209;48,96;42,338333;15207;359,178052
2019-07-30;217;67,21;2,78;165;59,352517
2019-07-30;203;16;20,8975;65040;3112,334011
2019-07-31;217;78,55;18,8475;1178;62,501658
2019-07-31;213;30,09;0,0825;15;181,818182
2019-07-31;215;47,38;39,995;10395;259,907488
2019-07-31;214;49,22;34,1675;38761;1134,440623
2019-07-31;209;55,62;31,107777;10752;345,637041
2019-07-31;210;25,15;31,010555;8188;264,039131
2019-07-31;202;8;7,638611;549;71,871705
2019-07-31;211;67,21;55,910277;7019;125,540426
2019-07-31;206;173,82;102,005555;888;8,705408
2019-07-31;203;16,2;21,713055;69400;3196,233786
2019-08-01;217;84,93;13,366388;1189;88,954472
2019-08-01;203;16;21,283888;127377;5984,667838
2019-08-01;206;187,62;104,774722;889;8,484871
2019-08-01;215;37,46;32,542777;8908;273,732017
2019-08-01;210;49,34;35,082777;10112;288,232599
2019-08-01;209;46,28;35,111666;12351;351,763428
2019-08-01;213;26,06;0,1175;16;136,170213
2019-08-01;214;51,33;27,536666;103699;3765,851682
2019-08-01;211;55,12;10,875;4094;376,45977
2019-08-01;202;8;7,864444;885;112,531795
2019-08-02;203;16;20,6575;65429;3167,324216
2019-08-02;215;54,28;29,305555;7532;257,016118
2019-08-02;211;58,32;15,726388;4830;307,127103
2019-08-02;214;38,1;12,765833;32846;2572,961748
2019-08-02;209;48,87;45,223611;14898;329,429686
2019-08-02;210;39,83;45,193055;12791;283,030213
2019-08-02;213;15,97;0,077777;17;218,573614
2019-08-02;206;117,58;49,378888;350;7,088049
2019-08-02;217;62,45;4,646666;746;160,545216
2019-08-02;202;8;6,333888;1034;163,24886
2019-08-04;206;98,8;17,350833;419;24,148696
2019-08-05;203;21;28,476666;109234;3835,912532
2019-08-05;209;54,06;49,518888;16931;341,909939
2019-08-05;215;78,42;65,6075;18432;280,943489
2019-08-05;210;74,39;49,505277;15617;315,461319
2019-08-05;206;259,8;113,480555;1088;9,587546
2019-08-05;214;55,62;20,415555;15706;769,315357
2019-08-05;213;17,2;0,720555;49;68,003136
2019-08-05;217;93,03;8,5675;1679;195,973154
2019-08-05;202;16;14,305277;2112;147,637826
2019-08-05;211;57,51;17,224444;6280;364,598125
2019-08-06;202;16;13,630277;1776;130,298159
2019-08-06;211;71,05;18,967222;5431;286,33608
2019-08-06;215;75,26;56,633888;14581;257,460692
2019-08-06;210;39,62;32,378333;7900;243,990325
2019-08-06;209;41,3;32,395555;9362;288,990264
2019-08-06;203;24,6;31,969722;135981;4253,430793
2019-08-06;206;234,68;93,338611;794;8,506662
2019-08-06;214;55,92;31,692777;21021;663,274158
2019-08-06;213;30,8;0,217222;46;211,764923
2019-08-06;217;114,05;23,306111;2427;104,135777
2019-08-07;206;231,28;112,5225;1016;9,029305
2019-08-07;209;82,66;69,399166;27447;395,494666
2019-08-07;214;39,51;14,051388;16976;1208,136875
2019-08-07;202;16;14,484444;2313;159,688559
2019-08-07;215;58,57;49,432222;14649;296,345165
2019-08-07;213;18,93;0,247777;42;169,507259
2019-08-07;211;79,52;51,866944;8734;168,392415
2019-08-07;210;92,39;69,348888;22735;327,835105
2019-08-07;217;74,32;1,755555;65;37,025328
2019-08-07;203;15,6;21,290277;115965;5446,85257
2019-08-08;217;79,9;7,919722;338;42,678265
2019-08-08;203;24,2;19,151111;91483;4776,903021
2019-08-08;211;93,29;33,931388;9887;291,382126
2019-08-08;209;37,23;38,035555;12134;319,017298
2019-08-08;206;226,1;101,274722;904;8,926216
2019-08-08;213;25,73;0,1175;24;204,255319
2019-08-08;215;56,65;36,111388;9415;260,721077
2019-08-08;214;52,42;17,252222;18704;1084,150203
2019-08-08;210;52,35;38,035555;12134;319,017298
2019-08-08;202;16;13,856388;1995;143,976915
2019-08-09;217;30,08;0,256111;41;160,086837
2019-08-09;215;49,06;44,515;12228;274,693923
2019-08-09;202;14,7;13,148055;1419;107,924708
2019-08-09;209;62,94;34,987777;20268;579,288018
2019-08-09;213;20,15;0,218888;38;173,604766
2019-08-09;211;109,04;81,251388;9516;117,117999
2019-08-09;214;44,7;15,525277;26338;1696,459264
2019-08-09;206;107,2;49,178611;514;10,451698
2019-08-09;203;24;21,329722;152716;7159,774515
2019-08-09;210;69,43;34,868055;9680;277,618008
2019-08-11;206;88;22,885555;506;22,110017
2019-08-12;202;16;15,368333;2496;162,411889
2019-08-12;217;24;8,721944;941;107,888791
2019-08-12;209;68,51;48,602777;21473;441,80603
2019-08-12;214;40,18;29,2675;23513;803,382591
2019-08-12;215;52,09;62,841111;16427;261,405308
2019-08-12;213;39,23;0,559166;91;162,74237
2019-08-12;211;104,24;31,910555;8479;265,711455
2019-08-12;206;257,2;107,828611;1217;11,286429
2019-08-12;203;38,5;22,767222;97532;4283,877936
2019-08-12;210;70,63;48,548333;17172;353,709364
2019-08-13;211;96,29;50,678333;8161;161,035288
2019-08-13;214;65,2;23,371666;23906;1022,862469
2019-08-13;217;40;7,791944;2689;345,100016
2019-08-13;203;40;25,8475;102934;3982,358061
2019-08-13;210;89,03;67,346388;19764;293,467854
2019-08-13;209;88,34;67,655277;29218;431,865795
2019-08-13;213;27,33;0,1825;44;241,09589
2019-08-13;215;75,39;63,527777;17693;278,508092
2019-08-13;206;268,23;95,917777;1192;12,427311
2019-08-13;202;16;12,551666;2012;160,297445
2019-08-14;206;247,08;103,045;1237;12,004464
2019-08-14;210;59,82;58,040555;15708;270,638349
2019-08-14;211;109,14;36,498611;18746;513,608586
2019-08-14;213;35,34;1,075277;70;65,099505
2019-08-14;215;80,66;49,978333;12472;249,548139
2019-08-14;202;16;12,814722;2515;196,258646
2019-08-14;217;41,22;11,766666;5167;439,121837
2019-08-14;209;89,95;58,1325;22110;380,33802
2019-08-14;214;55;24,108333;31981;1326,553768
2019-08-14;203;39,6;27,691388;101205;3654,746378
2019-08-15;214;67,9;32,946666;38678;1173,957935
2019-08-15;206;238,82;93,947222;1213;12,911505
2019-08-15;203;40;22,561944;61898;2743,469268
2019-08-15;202;8;14,025833;2907;207,260417
2019-08-15;211;102,37;51,782777;9893;191,048077
2019-08-15;215;74,09;53,9775;13718;254,142929
2019-08-15;210;51,06;42,427222;15174;357,647738
2019-08-15;213;50,65;0,665277;46;69,144131
2019-08-15;209;76,1;42,486944;21130;497,32925
2019-08-15;217;48;9,216666;1286;139,529847
2019-08-16;203;24;15,410277;60695;3938,605386
2019-08-16;213;36,4;0,165833;46;277,387492
2019-08-16;209;71,84;46,255277;18402;397,835689
2019-08-16;210;42,15;46,192777;13170;285,109509
2019-08-16;217;32;9,040555;523;57,85043
2019-08-16;215;60,33;44,139722;11936;270,414027
2019-08-16;202;16;13,639722;2489;182,481725
2019-08-16;214;36,37;14,316944;24951;1742,760186
2019-08-16;211;114,2;108,559444;9477;87,297794
2019-08-16;206;153,62;60,978055;493;8,084876
2019-08-17;214;24,18;18,706388;20539;1097,967175
2019-08-17;213;13,03;0,015833;3;189,477673
2019-08-17;211;73,16;13,280277;3013;226,877797
2019-08-17;206;13,37;15,72;108;6,870229
2019-08-18;206;94,7;37,460277;680;18,152562
2019-08-19;202;16;14,199444;2306;162,400724
2019-08-19;209;57,09;49,311388;18674;378,695485
2019-08-19;203;47,1;27,86;126355;4535,355348
2019-08-19;215;82,89;65,548611;20510;312,897553
2019-08-19;214;63,9;37,058611;50761;1369,749125
2019-08-19;213;42,35;2,758055;103;37,345158
2019-08-19;210;58,6;49,280833;16732;339,523481
2019-08-19;211;72,51;35,210833;5275;149,811849
2019-08-19;217;28,75;2,948611;299;101,403677
2019-08-19;206;257,91;164,561388;1512;9,188061
2019-08-20;213;62,43;0,441666;56;126,792644
2019-08-20;202;9,68;8,8925;1766;198,594321
2019-08-20;214;82,15;44,791111;39337;878,23229
2019-08-20;210;85,54;77,302222;20897;270,328581
2019-08-20;203;42,3;27,805833;105402;3790,643495
2019-08-20;211;89,77;39,631666;10969;276,773628
2019-08-20;217;24;3,18;174;54,716981
2019-08-20;206;259,71;166,581111;1537;9,226736
2019-08-20;209;64,04;77,332222;25725;332,655642
2019-08-20;215;103,48;67,4125;23239;344,728351
2019-08-21;214;78,33;35,657222;34757;974,753445
2019-08-21;211;132,7;129,340277;13148;101,654336
2019-08-21;213;48,28;0,4275;67;156,725146
2019-08-21;210;62,61;56,406111;14268;252,951315
2019-08-21;209;83,45;56,451666;17539;310,690564
2019-08-21;206;243,9;124,696944;1297;10,401217
2019-08-21;215;95,69;58,094722;15481;266,478596
2019-08-21;202;16;13,126111;2262;172,328269
2019-08-21;203;39,1;24,951666;44472;1782,325877
2019-08-21;217;16;5,522777;657;118,961891
2019-08-22;203;33,1;23,408055;43494;1858,07834
2019-08-22;209;68,42;43,4975;16314;375,056037
2019-08-22;214;76,13;44,3025;32048;723,390327
2019-08-22;210;49,86;43,373055;12666;292,024622
2019-08-22;213;32,39;0,613611;66;107,560001
2019-08-22;206;239,3;104,727777;1170;11,171821
2019-08-22;217;22,5;8,065555;318;39,426921
2019-08-22;202;15,2;14,901388;2789;187,163772
2019-08-22;211;105,32;33,515277;8509;253,884221
2019-08-22;215;90,49;61,5175;16844;273,808265
2019-08-23;213;63,33;0,279722;37;132,274187
2019-08-23;211;118,3;60,894166;10038;164,843377
2019-08-23;215;76,95;50,71;11174;220,351015
2019-08-23;203;27,1;20,495555;50262;2452,336616
2019-08-23;206;141,8;65,274166;697;10,678038
2019-08-23;202;8;8,839166;1473;166,644681
2019-08-23;209;72,95;37,546388;22999;612,548935
2019-08-23;214;65,28;41,229722;49284;1195,351256
2019-08-23;210;50,09;36,201111;10352;285,958074
2019-08-23;217;22,9;6,879166;223;32,41672
2019-08-24;211;34,97;19,373611;2968;153,198079
2019-08-24;214;34,28;11,678333;18320;1568,717042
2019-08-24;206;9;9,896388;62;6,264912
2019-08-25;206;88;33,338888;722;21,656391
2019-08-26;202;16;13,538888;3007;222,100958
2019-08-26;217;24;5,691666;436;76,60323
2019-08-26;209;69,33;64,698611;26089;403,23895
2019-08-26;211;134,39;99,405;11149;112,157336
2019-08-26;203;40,4;18,152222;62199;3426,522659
2019-08-26;206;257,5;117,606666;1449;12,32073
2019-08-26;210;82,86;64,616388;19599;303,313147
2019-08-26;215;97,3;69,011111;21764;315,369506
2019-08-26;213;43,3;0,478611;125;261,172434
2019-08-26;214;56,83;28,381944;22989;809,9868
2019-08-27;213;61,41;0,403333;98;242,975407
2019-08-27;215;87,72;50,9775;15858;311,078416
2019-08-27;214;55,84;32,561944;21272;653,277949
2019-08-27;211;167,24;79,775833;10188;127,707848
2019-08-27;203;40,6;27,528055;96343;3499,811374
2019-08-27;217;24;3,736111;318;85,115244
2019-08-27;209;87,33;77,713055;22805;293,451338
2019-08-27;210;84,88;77,612777;17975;231,598464
2019-08-27;206;243,9;101,496944;1288;12,690037
2019-08-27;202;16;13,588611;1916;141,00043
2019-08-28;203;40;31,685277;70809;2234,760327
2019-08-28;209;105,78;64,795;27948;431,329577
2019-08-28;214;37,76;22,053333;29903;1355,940165
2019-08-28;210;80,87;64,239722;17340;269,926448
2019-08-28;217;24;0,973611;827;849,415218
2019-08-28;206;244,25;112,358333;1451;12,91404
2019-08-28;202;14,6;14,827222;2337;157,615499
2019-08-28;213;42,78;1,743333;106;60,803071
2019-08-28;211;174,38;74,635277;9227;123,627865
2019-08-28;215;77,17;54,476111;18545;340,424447
2019-08-29;209;84,68;54,904722;22581;411,276101
2019-08-29;213;65,84;0,315;75;238,095238
2019-08-29;211;143,37;65,592222;5444;82,997645
2019-08-29;203;29,4;21,716111;32362;1490,229995
2019-08-29;202;16;13,131666;3262;248,40717
2019-08-29;206;241,23;103,955;1232;11,851282
2019-08-29;217;16;8,614166;1380;160,201231
2019-08-29;215;69,73;51,441111;14213;276,29652
2019-08-29;214;52,94;29,833055;23817;798,342643
2019-08-29;210;52,79;54,773333;13703;250,176486
2019-08-30;203;22,2;26,441111;64907;2454,775822
2019-08-30;206;149,82;48,426388;551;11,378094
2019-08-30;215;50,73;49,102777;14137;287,906323
2019-08-30;214;55,72;24,588055;16885;686,715561
2019-08-30;210;55,48;34,785833;8790;252,689076
2019-08-30;213;80,18;2,927777;56;19,12714
2019-08-30;217;28,46;8,056666;405;50,268932
2019-08-30;202;14,7;14,727222;2049;139,130108
2019-08-30;211;133,32;58,308611;5843;100,208183
2019-08-30;209;43,65;34,858888;12393;355,519085
2019-09-01;206;92,98;40,539444;596;14,701731
2019-09-02;217;29,02;8,971944;433;48,261558
2019-09-02;210;73,23;59,902777;19529;326,011597
2019-09-02;214;60,9;33,496666;25063;748,223718
2019-09-02;202;16;11,688611;1561;133,548802
2019-09-02;211;118,01;54,234722;7436;137,107736
2019-09-02;206;222,9;105,334444;1252;11,885951
2019-09-02;203;48;28,330555;123118;4345,767317
2019-09-02;215;74,54;75,673611;22951;303,289346
2019-09-02;213;36,96;1,021111;165;161,588701
2019-09-02;209;92,1;59,964166;24935;415,831681
2019-09-03;214;73,18;38,320277;37501;978,620274
2019-09-03;215;80,34;54,233888;14452;266,475455
2019-09-03;202;14,45;12,4925;2009;160,816489
2019-09-03;206;223,9;113,151944;1305;11,533165
2019-09-03;210;63,18;67,877222;18123;266,996784
2019-09-03;203;48;21,293055;134763;6328,965007
2019-09-03;211;105,66;67,459722;11273;167,107122
2019-09-03;213;59,39;0,868611;150;172,689501
2019-09-03;209;79,2;67,935555;22402;329,75369
2019-09-03;217;25,55;3,736666;530;141,83767
2019-09-04;209;77,61;64,653333;25824;399,422563
2019-09-04;214;61,18;28,6725;19297;673,014212
2019-09-04;217;24,28;8,128611;768;94,481086
2019-09-04;215;61,83;50,558055;16754;331,381418
2019-09-04;211;102,28;67,578888;10855;160,627088
2019-09-04;210;72,81;64,470277;19268;298,866406
2019-09-04;202;15,72;14,153888;2728;192,73856
2019-09-04;206;250,45;120,724444;1261;10,445275
2019-09-04;203;38,25;28,788611;100332;3485,128198
2019-09-04;213;53,37;1,206944;114;94,453429
2019-09-05;214;74,09;41,085277;42681;1038,83929
2019-09-05;217;23,4;12,831666;695;54,162881
2019-09-05;202;14,1;12,030277;1844;153,279928
2019-09-05;206;248,9;106,961666;1104;10,321455
2019-09-05;211;69,22;48,1425;5263;109,321285
2019-09-05;213;75,12;0,553611;82;148,118444
2019-09-05;215;79,01;65,286111;24050;368,378505
2019-09-05;209;82,08;51,265833;20575;401,339426
2019-09-05;210;41,8;51,191111;15955;311,675204
2019-09-05;203;32;27,101111;63733;2351,674807
2019-09-06;211;110,85;98,969444;11906;120,299756
2019-09-06;209;56,22;36,407222;13032;357,950958
2019-09-06;214;50,85;31,6425;26094;824,650391
2019-09-06;202;7,9;7,975277;2630;329,76911
2019-09-06;215;63,92;51,028888;15492;303,592741
2019-09-06;213;56,25;0,203333;58;285,246369
2019-09-06;217;32;7,818333;360;46,045621
2019-09-06;203;32;24,276944;108834;4483,018949
2019-09-06;206;173,3;66,243055;658;9,933117
2019-09-06;210;48,32;36,371111;9778;268,839739
2019-09-08;206;98,8;40,955;582;14,210719
2019-09-09;202;12,7;9,554722;1436;150,29218
2019-09-09;206;236,89;112,321666;1414;12,588845
2019-09-09;215;86,45;62,331944;22877;367,018875
2019-09-09;209;76,27;57,590277;27412;475,983124
2019-09-09;210;65,5;57,512222;18985;330,103747
2019-09-09;214;36,32;26,8425;29038;1081,791934
2019-09-09;213;31,41;0,3825;87;227,45098
2019-09-09;211;53,5;27,863055;4461;160,104482
2019-09-09;217;50;8,596111;840;97,718607
2019-09-09;203;25,5;22,947222;123260;5371,456292
2019-09-10;209;92,26;74,776111;33591;449,221008
2019-09-10;206;254,9;134,331666;1375;10,235859
2019-09-10;203;32;29,59;110368;3729,908752
2019-09-10;215;71,5;59,396111;20331;342,295137
2019-09-10;211;73,53;72,010555;7831;108,747946
2019-09-10;214;52,2;32,187777;24507;761,375972
2019-09-10;210;71,31;74,68;19437;260,270487
2019-09-10;213;49,57;0,4525;57;125,966851
2019-09-10;202;16;13,880555;3348;241,20073
2019-09-10;217;49,1;9,981944;890;89,160989
2019-09-11;206;287,95;111,405277;1168;10,484243
2019-09-11;202;16;15,567222;2787;179,030015
2019-09-11;217;56,3;16,513055;6269;379,639018
2019-09-11;214;55,85;42;48495;1154,642857
2019-09-11;211;81,5;56,663888;8657;152,778079
2019-09-11;213;55,95;0,244722;53;216,572274
2019-09-11;209;87,86;49,924722;21598;432,611322
2019-09-11;203;25,3;23,493055;102051;4343,879499
2019-09-11;215;65,39;48,898888;17316;354,118482
2019-09-11;210;59,32;49,822222;14249;285,996879
2019-09-12;215;52,32;52,912777;14212;268,592971
2019-09-12;210;52,72;50,571944;16331;322,926087
2019-09-12;206;247,05;110,758611;1235;11,150375
2019-09-12;202;16;14,986666;2864;191,103211
2019-09-12;217;32;9,606111;304;31,646521
2019-09-12;213;54,87;0,81;28;34,567901
2019-09-12;209;55,7;50,635277;20954;413,822165
2019-09-12;211;87,15;37,491666;5880;156,834854
2019-09-12;214;58,77;40,368333;25706;636,786265
2019-09-12;203;32,28;26,801111;139117;5190,717653
